ítem,Descripción,Unidad,RCMI 110 10,RCMI 110 10 CS,RCMI 110 10 CD,RCMI 110 20,RCMI 110 20 CS,RCMI 110 20 CD,RCMI 110 30,RCMI 110 30 CS,RCMI 110 30 CD,RCMI 48 10,RCMI 48 10 CS,RCMI 48 10 CD,RCMI 48 20,RCMI 48 20 CS,RCMI 48 20 CD,RCMI 48 30,RCMI 48 30 CS,RCMI 48 30 CD,RCMI 24 10,RCMI 24 10 CS,RCMI 24 10 CD,RCMI 24 20,RCMI 24 20 CS,RCMI 24 20 CD,RCMI 24 30,RCMI 24 30 CS,RCMI 24 30 CD
2.1,Temperatura máxima,°C,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
2.2,Temperatura mínima,°C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.3,Altura sobre el nivel del mar,m.s.n.m,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
2.4,Humedad relativa máxima (sin condensación),%,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
2.5,Instlacion,-,Interior,Interior,Interior,Interior,Interior,Interior,Interior,Interior,Interior,Interior,Interior,Interior,Interior,Interior,Interior,Interior,Interior,Interior,Interior,Interior,Interior,Interior,Interior,Interior,Interior,Interior,Interior
2.6,Tipo de Servicio,-,Continuo,Continuo,Continuo,Continuo,Continuo,Continuo,Continuo,Continuo,Continuo,Continuo,Continuo,Continuo,Continuo,Continuo,Continuo,Continuo,Continuo,Continuo,Continuo,Continuo,Continuo,Continuo,Continuo,Continuo,Continuo,Continuo,Continuo
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Alimentación,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.1,Tipo,Tri/Mono,Monofásico,Monofásico,Monofásico,Monofásico,Monofásico,Monofásico,Monofásico,Monofásico,Monofásico,Monofásico,Monofásico,Monofásico,Monofásico,Monofásico,Monofásico,Monofásico,Monofásico,Monofásico,Monofásico,Monofásico,Monofásico,Monofásico,Monofásico,Monofásico,Monofásico,Monofásico,Monofásico
3.2,Tensión,Vca,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220
3.3,Rango de Tensión de entrada,%,±10,±10,±10,±10,±10,±10,±10,±10,±10,±10,±10,±10,±10,±10,±10,±10,±10,±10,±10,±10,±10,±10,±10,±10,±10,±10,±10
3.4,Frecuencia,Hz,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
3.5,Rango de Frecuencia de entrada,%,±5,±5,±5,±5,±5,±5,±5,±5,±5,±5,±5,±5,±5,±5,±5,±5,±5,±5,±5,±5,±5,±5,±5,±5,±5,±5,±5
3.5.1,-Conexión del nuetro respecto a tierra,Rigido/Aislado,Rígido,Rígido,Rígido,Rígido,Rígido,Rígido,Rígido,Rígido,Rígido,Rígido,Rígido,Rígido,Rígido,Rígido,Rígido,Rígido,Rígido,Rígido,Rígido,Rígido,Rígido,Rígido,Rígido,Rígido,Rígido,Rígido,Rígido
3.5.2,-Conductor de PE independiente del neutro,-,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí
3.5.3,-Corriente de cortocircuito de la red en el punto de conexión,kA,A definir por cliente,A definir por cliente,A definir por cliente,A definir por cliente,A definir por cliente,A definir por cliente,A definir por cliente,A definir por cliente,A definir por cliente,A definir por cliente,A definir por cliente,A definir por cliente,A definir por cliente,A definir por cliente,A definir por cliente,A definir por cliente,A definir por cliente,A definir por cliente,A definir por cliente,A definir por cliente,A definir por cliente,A definir por cliente,A definir por cliente,A definir por cliente,A definir por cliente,A definir por cliente,A definir por cliente
