ítem,Descripción,Unidad,RCTI-110-15,RCTI-110-15-CS,RCTI-110-15-CD,RCTI-110-30,RCTI-110-30-CS,RCTI-110-30-CD,RCTI-110-50,RCTI-110-50-CS,RCTI-110-50-CD,RCTI-110-70,RCTI-110-70-CS,RCTI-110-70-CD,RCTI-110-100,RCTI-110-100-CS,RCTI-110-100-CD,RCTI-110-150,RCTI-110-150-CS,RCTI-110-150-CD,RCTI-48-15,RCTI-48-15-CS,RCTI-48-15-CD,RCTI-48-30,RCTI-48-30-CS,RCTI-48-30-CD,RCTI-48-40,RCTI-48-40-CS,RCTI-48-40-CD,RCTI-48-50,RCTI-48-50-CS,RCTI-48-50-CD,RCTI-48-70,RCTI-48-70-CS,RCTI-48-70-CD,RCTI-48-100,RCTI-48-100-CS,RCTI-48-100-CD,RCTI-48-150,RCTI-48-150-CS,RCTI-48-150-CD,RCTI-24-15,RCTI-24-15-CS,RCTI-24-15-CD,RCTI-24-30,RCTI-24-30-CS,RCTI-24-30-CD,RCTI-24-40,RCTI-24-40-CS,RCTI-24-40-CD,RCTI-24-50,RCTI-24-50-CS,RCTI-24-50-CD,RCTI-24-70,RCTI-24-70-CS,RCTI-24-70-CD,RCTI-24-100,RCTI-24-100-CS,RCTI-24-100-CD,RCTI-24-150,RCTI-24-150-CS,RCTI-24-150-CD
2,Condiciones ambientales de servicio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.1,Temperatura máxima,°C,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
2.2,Temperatura mínima,°C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.3,Altura sobre el nivel del mar,m.s.n.m,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
2.4,Humedad relativa máxima (sin condensación),%,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
2.5,Instalacion,-,Interior,Interior,Interior,Interior,Interior,Interior,Interior,Interior,Interior,Interior,Interior,Interior,Interior,Interior,Interior,Interior,Interior,Interior,Interior,Interior,Interior,Interior,Interior,Interior,Interior,Interior,Interior,Interior,Interior,Interior,Interior,Interior,Interior,Interior,Interior,Interior,Interior,Interior,Interior,Interior,Interior,Interior,Interior,Interior,Interior,Interior,Interior,Interior,Interior,Interior,Interior,Interior,Interior,Interior,Interior,Interior,Interior,Interior,Interior,Interior
2.6,Tipo de Servicio,-,Continuo,Continuo,Continuo,Continuo,Continuo,Continuo,Continuo,Continuo,Continuo,Continuo,Continuo,Continuo,Continuo,Continuo,Continuo,Continuo,Continuo,Continuo,Continuo,Continuo,Continuo,Continuo,Continuo,Continuo,Continuo,Continuo,Continuo,Continuo,Continuo,Continuo,Continuo,Continuo,Continuo,Continuo,Continuo,Continuo,Continuo,Continuo,Continuo,Continuo,Continuo,Continuo,Continuo,Continuo,Continuo,Continuo,Continuo,Continuo,Continuo,Continuo,Continuo,Continuo,Continuo,Continuo,Continuo,Continuo,Continuo,Continuo,Continuo,Continuo
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Alimentación,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.1,Tipo,Tri/Mono,Trifásico,Trifásico,Trifásico,Trifásico,Trifásico,Trifásico,Trifásico,Trifásico,Trifásico,Trifásico,Trifásico,Trifásico,Trifásico,Trifásico,Trifásico,Trifásico,Trifásico,Trifásico,Trifásico,Trifásico,Trifásico,Trifásico,Trifásico,Trifásico,Trifásico,Trifásico,Trifásico,Trifásico,Trifásico,Trifásico,Trifásico,Trifásico,Trifásico,Trifásico,Trifásico,Trifásico,Trifásico,Trifásico,Trifásico,Trifásico,Trifásico,Trifásico,Trifásico,Trifásico,Trifásico,Trifásico,Trifásico,Trifásico,Trifásico,Trifásico,Trifásico,Trifásico,Trifásico,Trifásico,Trifásico,Trifásico,Trifásico,Trifásico,Trifásico,Trifásico
3.2,Tensión,Vca,3x380,3x380,3x380,3x380,3x380,3x380,3x380,3x380,3x380,3x380,3x380,3x380,3x380,3x380,3x380,3x380,3x380,3x380,3x380,3x380,3x380,3x380,3x380,3x380,3x380,3x380,3x380,3x380,3x380,3x380,3x380,3x380,3x380,3x380,3x380,3x380,3x380,3x380,3x380,3x380,3x380,3x380,3x380,3x380,3x380,3x380,3x380,3x380,3x380,3x380,3x380,3x380,3x380,3x380,3x380,3x380,3x380,3x380,3x380,3x380
3.3,Rango de Tensión de entrada,%,±10,±10,±10,±10,±10,±10,±10,±10,±10,±10,±10,±10,±10,±10,±10,±10,±10,±10,±10,±10,±10,±10,±10,±10,±10,±10,±10,±10,±10,±10,±10,±10,±10,±10,±10,±10,±10,±10,±10,±10,±10,±10,±10,±10,±10,±10,±10,±10,±10,±10,±10,±10,±10,±10,±10,±10,±10,±10,±10,±10
